x;Exportación;Importación;Balanza
2010;2127.54;24745.31;-22617.77
2011;14164;41547.83;-27383.83
2012;2568.63;36393.62;-33824.99
2013;8214.93;18422.06;-10207.13
2014*;1994.95;23081.27;-21086.32
