x;Exportación;Importación;Balanza
2010;23143.89;8764.13;14379.76
2011;17977;18812;-835
2012;24812.02;9281.96;15530.06
2013;34078.04;11061.18;23016.86
2014*;17798.98;14645.6;3153.38
