x;Exportación;Importación;Balanza
2010;1246.33;11913.94;-10667.61
2011;1568;20531;-18963
2012;216.92;10980.11;-10763.19
2013;1508.05;6414.1;-4906.05
2014*;2222.65;3839.16;-1616.51
