x;Exportación;Importación;Balanza
2010;3.04;492354.03;-492350.99
2011;201;516907;-516706
2012;252.89;514445.61;-514192.72
2013;1092.61;462758.48;-461665.87
2014*;705.95;364685.93;-363979.98
